,mck,ten_cong_ty,mst,cong_ty_con,doanh_thu_2020,doanh_thu_2021
424,DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,3500101107.0,"CTCP Đầu tư Phát triển Xây dựng Hà Nam, CTCP Đầu tư Phát triển Tầm nhìn DIC, CTCP Đầu tư Phát triển Thương mại DIC, CTCP Thủy Cung DIG, CTCP Gạch men Anh em DIC, Công ty TNHH Du lịch DIC, CTCP Đầu tư Phát triển Xây dựng DIC Số 2, CTCP Đầu tư Phát triển Xây dựng Số 1, CTCP Bất động sản DIC, CTCP Đầu tư Phát triển Xây dựng Bê Tông, CTCP XD DIC Holdings","2,487,174","2,568,689"
425,DIH,CTCP Đầu tư Phát triển Xây dựng - Hội An,4000391600.0,,"173,435","173,996"
426,DKC,CTCP Chợ Lạng Sơn,4900102530.0,,"17,642","18,995"
427,HHC,CTCP Bánh kẹo Hải Hà,101444379,,"1,408,828","930,609"
428,HHG,CTCP Hoàng Hà,1000272301,Công ty TNHH MTV Bến xe khách Bến xe Phía Tây Thái Bình,"112,429","94,335"
429,HHN,CTCP Vận tải và Dịch vụ Hàng hóa Hà Nội,100105729,,"28,224","27,662"
430,HHP,CTCP Giấy Hoàng Hà Hải Phòng,201282851,CTCP Giấy Hoàng Hà Hà Nam,"479,528","791,385"
431,HHR,CTCP Đường sắt Hà Hải,100769656,,"192,300","258,090"
432,HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,200815578,"CTCP Phát Triển Dịch vụ Hoàng Giang, Công ty TNHH Pruksa Việt Nam, CTCP Tập đoàn Bất động sản CRV","605,482","516,363"
433,HHV,CTCP Đầu tư Hạ tầng Giao thông Đèo Cả,400101965,"CTCP Phước Tượng Phú Gia BOT, CTCP Đầu tư Đèo Cả, CTCP Đầu tư BOT Đèo Cả Khánh Hòa, CTCP BOT Bắc Giang - Lạng Sơn - Hữu Nghị, CTCP Đầu tư và Xây Dựng ICV Việt Nam","1,201,343","1,861,340"
434,HID,CTCP Halcom Việt Nam,101143879,"CTCP Phát triển đô thị Cần Thơ, Công ty CP Nước Nhơn Hội, CTCP Nước Thuận Thành, Công ty CP Hal Invest, Công ty CP Hal Invest, Công ty CP Điện mặt trời VKT- Hòa An, Công ty CP Điện gió Halcom- Quảng Bình, Công ty CP Điện mặt trời Halcom- Hậu Giang","338,045","275,915"
435,HIG,CTCP Tập đoàn HIPT,100364579,"CTCP Năng lượng Công nghệ cao (Hi-Power Tech), Công ty TNHH Dịch vụ Đầu tư HIPT ( Invest), Công ty Giải pháp và Tư vấn Công nghệ HIPT (HISC), Công ty TNHH Hệ thống Dịch Vụ Công Nghệ HIPT (HISN), Công ty TNHH HIPT Phần mềm (HIPT Software), CTCP Phát triển Nguồn nhân lực Chân trời mới Hà Nội HIPT, Thời báo Doanh Nhân, CTCP Dịch vụ Kỹ nghệ Hàng không Việt, CTCP Giải pháp HIMC, CTCP Đội công nghệ 3D Hà Nội, CTCP Công nghệ Thông tin Lam Hồng, CTCP Tin học Viễn thông Hàng không","640,369","425,015"
436,HII,CTCP An Tiến Industries,5200466372,"Công ty TNHH An Thành Bicsol Singapore, CTCP Liên Vận An Tín, CTCP An Thành Biscol","4,082,730","8,265,252"
437,HJC,CTCP Hòa Việt,3600262193,,"437,378","495,030"
438,HJS,CTCP Thủy điện Nậm Mu,5100174626,CTCP Sông Đà Tây Đô,"188,962","165,837"
439,HKB,CTCP Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,104246382,"CTCP Nông nghiệp Hưng Lộc Phát Gia Lai, CTCP Nông nghiệp Lumex Việt Nam, CTCP Thương mại - Xuất nhập khẩu Tấn Hưng, HTX Dịch vụ Nông nghiệp Tân Cường","3,323","5,437"
440,HKP,CTCP Bao bì Hà Tiên,1700110786,,"96,347","91,254"
441,HKT,CTCP Đầu tư Ego Việt Nam,5400257584,,"202,243","31,438"
442,HLA,CTCP Hữu Liên Á Châu,302290400,CTCP Minh Hữu Liên,"10,206","8,570"
443,HLB,CTCP Bia và Nước giải khát Hạ Long,5700433939,CTCP Bia và Nước Giải Khát Đông Mai,"709,801","980,882"
444,HLC,CTCP Than Hà Lầm - Vinacomin,5700101637,CTCP Cảng Làng Khánh - TKV,"2,721,616","3,229,009"
445,HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,102340326,CTCP Hudland Thương mại & Dịch vụ,"182,028","80,925"
446,HLG,CTCP Tập đoàn Hoàng Long,1100414052,"Công ty TNHH MTV Đầu tư Phát triển Hạ tầng Hoàng Long, Công ty TNHH MTV Thức Ăn Thủy Sản MEKONG, công ty TNHH MTV Nhật Việt","2,653,763","2,527,103"
447,HLR,CTCP Đường sắt Hà Lạng,2400152522,,"158,068","197,001"
448,HLS,CTCP Sứ Kỹ thuật Hoàng Liên Sơn,5200216710,,"119,064","146,599"
449,HLT,CTCP Dệt may Hoàng Thị Loan,2900324811,,"508,401","797,004"
450,HLY,CTCP Viglacera Hạ Long I,5700475745,"CT TNHH MTV Viglacera, CTCP Gạch Clinker Viglacera, CTCP Thương mại Viglacera, CTCP Thương mại Can Lộc","36,336","32,584"
451,HMC,CTCP Kim khí Thành phố Hồ Chí Minh - VNSTEEL,300399360,,"3,630,935","3,830,565"
452,HMG,CTCP Kim khí Hà Nội - VNSTEEL,100100368,,"1,904,453","2,492,022"
453,HMH,CTCP Hải Minh,302525162,"Công ty TNHH Tiếp Vận Hải Minh, Công ty TNHH DV Hàng Hải Hải Minh, Công ty TNHH Tiếp vận Nam Phát","100,402","90,715"
454,HMR,CTCP Đá Hoàng Mai,2901437166,,"74,463","87,770"
455,HMS,CTCP Xây dựng Bảo tàng Hồ Chí Minh,100105077,,"729,928","649,443"
456,HNA,CTCP Thủy điện Hủa Na,2900797430,,"604,196","691,109"
457,HNB,CTCP Bến xe Hà Nội,100105528,,"122,816","61,021"
458,HND,CTCP Nhiệt điện Hải Phòng,200493225,,"10,900,258","9,026,540"
459,HNF,CTCP Thực phẩm Hữu Nghị,102109239,,"1,471,493","1,602,618"
460,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,5900712753,"Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai, Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu, Công ty TNHH Hoàng Anh Oyadav, Công ty TNHH CRD, Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh, Công ty TNHH Heng Brothers, Công ty TNHH Hoàng Anh Rattanakiri, CTCP Hoàng Anh Đắk Lắk","2,374,912","1,198,935"
461,HNI,CTCP May Hữu Nghị,302641539,,"900,003","779,282"
462,HNM,CTCP Sữa Hà Nội,101218588,CTCP Sữa tự nhiên,"207,396","272,271"
463,HNP,CTCP Hanel Xốp nhựa,100738312,,"321,671","351,561"
464,HNR,CTCP Rượu và Nước giải khát Hà Nội,103014424,Công ty TNHH MTV Thương mại rượu Hà Nội,"103,288","102,052"
465,HOM,CTCP Xi măng VICEM Hoàng Mai,2900329295,,"1,688,968","1,838,901"
466,HOT,CTCP Du lịch Dịch vụ Hội An,4000102418,Công ty TNHH MTV Lữ hành Hội An,"38,438","26,463"
467,HPB,CTCP Bao bì PP,200545032,CTCP Bao Bì Hải Phòng - Nhơn Trạch,"194,049","239,189"
468,HPD,CTCP Thủy điện ĐăK Đoa,5900419811,,"37,865","46,513"
469,HPG,CTCP Tập đoàn Hòa Phát,900189284,"CTCP Gang thép Hòa Phát, CTCP Sản phẩm thép Hòa Phát, CTCP Phát triển Nông nghiệp Hòa Phát, CTCP Phát triển Bất động sản Hòa Phát, CTCP Điện máy gia dụng Hòa Phát","90,118,503","149,679,790"
470,HPH,CTCP Hóa Chất Hưng Phát Hà Bắc,2400395807,,"74,256","66,186"
471,HPI,CTCP Khu công nghiệp Hiệp Phước,305046979,Công ty TNHH Khu Kỹ nghệ Việt - Nhật,"19,517","25,547"
472,E12,CTCP Xây dựng Điện VNECO12,3100320136,,"42,474","55,868"
473,E1VFVN30,Quỹ ETF DCVFMVN30,302991607,,"606,835","-159,538"
474,E29,CTCP Đầu tư Xây dựng và Kỹ thuật 29,105879162,,"442,125","232,466"
475,EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,101493714,"CTCP Năng lượng EBS Solar Việt Nam, CTCP Phát hành sách Gíao dục","114,217","118,592"
476,ECI,CTCP Tập Đoàn ECI,102137109,,"65,303","60,096"
477,EFI,CTCP Đầu tư Tài chính Giáo dục,103021027,Công ty TNHH MTV Quản lý & Khai thác BĐS EFI,"7,985","2,859"
478,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,301179079,Công ty TNHH MTV Quản lý nợ và Khai thác tài sản,"3,313,736","3,524,302"
479,EIC,CTCP EVN Quốc tế,103019858,Công ty TNHH Thuỷ Hạ Sê San 2,"14,588","18,584"
480,EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,102222393,"Công ty TNHH MTV Hồng Hà – Thành Công, CTCP Sách dịch và Từ điển Giáo dục, CTCP Sách - TBTH Lạng Sơn, CTCP Sách và Thiết bị trường học Hà Tây","666,875","778,829"
481,EIN,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,305128163,"CTY TNHH MTV Dịch vụ điện lực Hà Nội, Công ty TNHH MTV Dịch vụ Lữ hành Cuộc Sống Việt","109,893","9,015"
482,ELC,CTCP Công Nghệ - Viễn Thông Elcom,101435127,CTCP Công nghệ VFT,"802,233","659,132"
483,EMC,CTCP Cơ điện Thủ Đức,301824508,,"621,419","622,427"
484,EME,CTCP Điện cơ,301900678,,"77,826","72,055"
485,EMG,CTCP Thiết bị Phụ Tùng Cơ Điện,100103584,CTCP Cơ điện và Thực phẩm Sen Việt,"108,453","75,145"
486,EMS,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,103009824,,"1,912,126","2,495,606"
487,EPC,CTCP Cà phê Ea Pốk,6000183114,,"78,379","23,779"
488,EPH,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,103488607,,"76,124","87,885"
489,EVE,CTCP Everpia,101402121,CTCP Everpia Korea,"855,358","865,947"
490,EVF,Công ty Tài chính Cổ phần Điện lực,102806367,,"713,211","786,127"
491,EVG,CTCP Tập đoàn EverLand,104228175,"CTCP EVERLAND Vân Đồn, CTCP EVERLAND Phú Yên, CTCP Đầu tư và Du lịch Crystal Holidays, CTCP Quản lý Khách sạn Crystal Holidays, CTCP Quản lý Du thuyền Quốc tế Crystal Holidays, CTCP Đầu tư Xuân Đài Bay","768,476","968,373"
492,EVS,CTCP Chứng khoán Everest,103015027,,"351,467","1,113,080"
493,PAC,CTCP Pin Ắc quy Miền Nam,0300405462-1,Công ty TNHH Đầu tư Kinh doanh Bất động sản Thịnh Phát,"965,945","907,737"
494,PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí,0103349508,,"92,985","118,524"
495,PAN,CTCP Tập đoàn Pan,0301472704,"CTCP Thực phẩm PAN, CTCP Phân phối hàng tiêu dùng PAN ( PAN CG), CTCP PAN Farm, CTCP chế biến hàng Xuất khẩu Long An (LAF), CTCP Thực phẩm Khang An, CTCP Tập Đoàn Giống Cây Trồng Việt Nam, CTCP Cà phê Golden Beans, CTCP Xuất nhập khẩu Thủy sản Bến Tre (ABT), CTCP Thủy sản 584 Nha Trang (584 Nha Trang), CTCP PAN - HULIC, CTCP Khử trùng Việt Nam (VFG), CTCP Thực phẩm Sao Ta, CTCP Bibica","8,329,251","9,248,572"
496,PAS,CTCP Quốc tế Phương Anh,0900613295,,"778,763","1,123,507"
497,PBC,CTCP Dược phẩm Trung Ương 1- Pharbaco,0100109032,CTCP Dược phẩm công nghệ cao Việt Mỹ,"744,098","940,591"
498,PBP,CTCP Bao bì Dầu khí Việt Nam,1900437757,,"40,595","329,974"
499,PBT,CTCP Nhà và Thương mại Dầu khí,4300429492,,"353,869","859,543"
500,PC1,CTCP Tập Đoàn PC1,0100100745,"Công ty TNHH MTV Xây lắp điện 1 - Miền Nam, Công ty TNHH MTV Xây lắp điện 1 - Từ Liêm, Công ty TNHH MTV Xây lắp điện 1 - Miền Bắc, Công ty TNHH MTV Xây lắp điện 1 - Mỹ Đình, Công ty TNHH MTV Xây lắp điện 1 – Ninh Bình, Công ty TNHH MTV Xây lắp điện 1 - Hà Đông, Công ty TNHH MTV Xây lắp điện 1 - Hoàng Mai, Công ty TNHH MTV Xây lắp điện 1 - Đại Mỗ, Công ty TNHH MTV Xây lắp điện 1 - Nàng Hương, CTCP Đầu tư Thương mại Tiến Bộ, CTCP Thủy điện Bảo Lâm, CTCP Cơ khí Ô tô Hòa Bình, CTCP Địa ốc Mỹ Đình, Công ty TNHH Chế tạo cột thép Đông Anh, CTCP Thủy Điện Trung Thu, CTCP Đầu tư Năng lượng miền Bắc, CTCP Điện gió Liên Lập, CTCP Điện gió Phong Nguyên, CTCP Điện gió Phong Huy, CTCP Lắp máy Công nghiệp Việt Nam, CTCP Đầu tư và Dịch vụ Công nghệ, CTCP Khoáng sản Tấn Phát, CTCP Gang thép Cao Bằng","6,678,601","9,828,463"
501,PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex,0100108180,"Công ty TNHH MTV Gỗ nhựa PCC-1, Công ty TNHH MTV PCC-1 Chế tạo bồn bể - Ống công nghệ và Kết cấu thép, Công ty TNHH MTV PCC-1 Sài Gòn, Công ty TNHH MTV PCC-1 Hà Nội, Công ty TNHH Bê tông & Xây lắp Petrolimex, CTCP PCC-1 HOMES, CTCP Bãi đỗ xe tự động PCC-1 NISSEI TIC","755,968","626,318"
502,PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung,4100733174,,"1,863,265","3,036,619"
503,PCF,CTCP Cà phê PETEC,0304263392,,"287,922","284,536"
504,PCG,CTCP Đầu tư Phát triển Gas Đô thị,0102349865,"Công ty TNHH VN Gas - Đắk Lắk, Công ty TNHH Xây dựng và Kỹ thuật PCG Việt Nam, Công ty TNHH Thương mại Thiết bị Năng lượng Việt Nam, Công ty TNHH PCG Phú Vinh","287,856","392,810"
505,PCM,CTCP Vật liệu Xây dựng Bưu điện,0100687185,Công ty TNHH MTV Vật liệu Xây dựng Bưu điện 2,"55,785","51,184"
506,PCN,CTCP Hóa phẩm Dầu khí DMC - Miền Bắc,0102631910,,"14,253","7,732"
507,PCT,CTCP Vận tải Khí và Hoá chất Việt Nam,0305020272,,"470,432","464,208"
508,PDB,CTCP Tập đoàn Đầu tư Din Capital,0401333013,"Công ty TNHH MTV Rofadi, Công ty TNHH MTV Bê tông Dufago, Công Ty Cổ phần Bê tông Dinco Chu Lai","256,045","263,034"
509,PDC,CTCP Du lịch Dầu khí Phương Đông,2900781381,CTCP Sài Gòn Kim Liên,"42,635","21,151"
510,PDN,CTCP Cảng Đồng Nai,3600334112,"CTCP Dịch vụ Cảng Đồng Nai, CTCP Cảng Long Thành","793,588","892,513"
511,PDR,CTCP Phát triển Bất động sản Phát Đạt,0309096681,"CTCP BĐS Đầu tư và Phát triển Cao ốc Bình Dương, CTCP ĐK Phú Quốc, Công ty TNHH Đầu tư Xây dựng Hạ tầng Kỹ thuật Coinin, CTCP Địa ốc Sài Gòn – KL, CTCP Bến Thành Long Hải, CTCP Đầu tư và Phát triển Khu công nghiệp Phát Đạt, CTCP Đầu tư Serenity, CTCP Kinh doanh và dịch vụ BĐS Phát Đạt, CTCP Đầu tư Bất động sản BIDICI, Công ty TNHH Đầu tư Xây dựng Công trình PĐP","3,911,212","3,620,224"
512,PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt,0304934883,,"852,422","824,443"
513,PEC,CTCP Cơ khí Điện lực,0103007120,"Công ty TNHH MTV Cơ khí và Xây dựng Nguồn điện, CTCP Thương mại và Xây lắp Điện lực","114,450","27,320"
514,PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,0300649476,"Công ty TNHH MTV Xăng dầu An Pha Vĩnh Long, CTCP Cà phê Petec, CTCP Petec Bình Định, CTCP Kho vận Petec, Công ty BDS và kỹ thuật xăng dầu petecland","2,424,120","3,806,853"
515,PEN,CTCP Xây lắp III Petrolimex,0302536580,Công ty TNHH Xây lắp Điện máy Thăng Long,"287,347","131,642"
516,PEQ,CTCP Thiết bị Xăng dầu Petrolimex,0100108102,,"657,480","707,879"
517,PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,0300452060,"CTCP Thương mại Dịch vụ Dầu khí Miền Trung (PSMT), CTCP Dịch vụ Phân phối Tổng hợp Dầu khí, CTCP Quản lý và Khai thác Tài sản Dầu khí (PSA), CTCP DV Tổng hợp Dầu khí Vũng Tàu (PSV), CTCP Thương mại và Dịch vụ Dầu khí Biển (POTS), CTCP Hội tụ Thông minh (Smartcom), CTCP Phân phối Sản phẩm Công nghệ cao Dầu khí, CTCP Môi trường xanh Pedaco, CTCP Dịch vụ Môi trường và Năng lượng Petro, CTCP Dịch vụ Logistic Dầu khí Việt Nam (PSL), Công ty TNHH Kinh doanh Văn phòng Dầu khí (Petro Tower), Công ty TNHH Nghỉ dưỡng Quốc tế Vịnh Hòa Emeral Bay","13,453,249","17,598,238"
518,PFL,CTCP Dầu khí Đông Đô,0102293517,"CTCP TID, CTCP BĐS Tài chính dầu khí Hà Quang","38,029","137,228"
519,PGB,Ngân hàng TMCP Xăng dầu Petrolimex,2700113651,,"906,428","738,114"
520,PGC,Tổng Công ty Gas Petrolimex - CTCP,0101447725,"Công ty TNHH Gas Petrolimex Đà Nẵng, Công ty TNHH Gas Petrolimex Cần Thơ, Công ty TNHH Gas Petrolimex Sài Gòn, Công ty TNHH Gas Petrolimex Hà Nội, Công ty TNHH Gas Petrolimex Hải Phòng, Công ty TNHH Cơ khí Gas P.M.G","2,824,679","3,362,912"
521,PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,0304998686,,"7,526,764","8,996,080"
522,PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,0100110768,"CTCP Đầu tư dịch vụ và Hạ tầng Xăng dầu, CTCP Xây lắp Petrolimex 1, Công ty TNHH Liên doanh Kho xăng ngoại quan Vân Phong, TCT Tái bảo hiểm Quốc gia Việt Nam, CTCP Vận tải xăng dầu VIPCO, CTCP Thương mại và sửa chữa ô tô Petrolimex","2,920,924","3,037,019"
523,PGN,CTCP Phụ Gia Nhựa,2500287403,,"161,319","170,359"
524,PGS,CTCP Kinh doanh Khí Miền Nam,0305097236,Công ty TNHH Khí hóa lỏng Việt Nam - VT Gas,"4,800,561","5,614,656"
525,PGT,CTCP PGT Holdings,0303527483,"Công ty TNHH MTV Vĩnh Đại Phát, Công ty TNHH BMF MicroFinance, Công ty TNHH MASS Việt Nam, CTCP Mỹ phẩm Hồng Xinh",325,828
526,PGV,Tổng Công ty Phát điện 3 - CTCP,3502208399,"CTCP Nhiệt điện Bà Rịa, CTCP Nhiệt điện Ninh Bình, CTCP Thủy điện Vĩnh Sơn - Sông Hinh, CTCP Thủy điện Thác Bà, Công ty TNHH Dịch vụ Năng lượng GE - PMTP, CTCP ĐL Dầu khí Nhơn Trạch 2, CTCP Điện Việt - Lào","40,367,208","37,757,424"
527,PHC,CTCP Xây dựng Phục Hưng Holdings,0101311315,"CTCP Phú Lâm, Công ty Địa ốc An Thịnh Phát, CTCP ĐTKD An Phú Hưng, CTCP Nhà Mỹ Xuân Hà Nội","419,450","289,459"
528,PHH,CTCP Hồng Hà Việt Nam,0100109674,"CTCP Hồng Hà Hà Nội, CTCP Tứ Hiệp Hồng Hà Dầu khí, CTCP Sông Đáy Hồng Hà Dầu khí","507,318","172,822"
529,PHP,CTCP Cảng Hải Phòng,0200236845,"Công ty TNHH MTV Cảng Hoàng Diệu, Công ty TNHH MTV Trung tâm y tế Cảng Hải Phòng, Công ty TNHH MTV Đào tạo kỹ thuật nghiệp vụ cảng Hải Phòng, CTCP Lai dắt và vận tải Cảng Hải Phòng, CTCP Đầu tư và Phát triển Cảng Đình Vũ, CTCP Tiếp Vận Đình Vũ, Công ty TNHH Tiếp nhận SITIC - Đình Vũ, CTCP HPH Logistics, Công ty TNHH KM Cargo Services Hải Phòng, CTCP Vận tải Container Đông Đô, CTCP Đầu tư phát triển dịch vụ cảng Hải Phòng, CTCP Đầu tư và Thương mại hàng hải Hải Phòng, CTCP Vinalines Đông Bắc, CTCP Logistics Cảng Sài Gòn","2,030,663","2,284,630"
530,PHR,CTCP Cao su Phước Hòa,3700147532,"Công ty TNHH Phát triển cao su Phước Hòa - Kampongthom, Công ty TNHH MTV Cao su Phước Hòa Đắk Lắk, Công Ty TNHH Cao su và Lâm nghiệp Phước Hòa Đắk Lắk, CTCP Khu Công nghiệp Tân Bình, CTCP Cao su Trường Phát, CTCP Khu Công nghiệp Nam Tân Uyên, CTCP Bóng thể thao Ngôi sao Geru","1,631,648","1,945,435"
531,PHS,CTCP Chứng khoán Phú Hưng,0313642887,,"213,395","493,564"
532,PIA,CTCP Tin học Viễn thông Petrolimex,0101409374,,"114,416","147,667"
533,PIC,CTCP Đầu tư Điện lực 3,0400599162,,"101,559","127,378"
534,PID,CTCP Trang Trí Nội Thất Dầu khí,0103467702,,"6,252","1,056"
535,PIS,Tổng Công ty Pisico Bình Định - CTCP,4100258987,"Công ty TNHH MTV HR PISICO, Công ty TNHH MTV Truyền Hình Cáp Quy Nhơn, CTCP Dịch vụ Phát triển Hạ tầng (PBC), CTy TNHH Đầu tư An Việt, Công ty TNHH Nguyên liệu Giấy Quy Nhơn, CTCP Kinh doanh Công Nông nghiệp Bình Định (BIDINA), CTCP PISICO Hà Thanh, CTCP Chế biến Gỗ Nội thất PISICO, Công ty TNHH Vật liệu xây dựng PISICO","564,490","473,127"
536,PIT,CTCP Xuất nhập khẩu Petrolimex,0301776741,Công ty TNHH MTV Sơn Petrolimex,"551,101","873,246"
537,PIV,CTCP PIV,0102636059,CTCP Thương mại Trường Lưu Thủy,,
538,PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội,01009192841,CTCP Thương mại & Dịch vụ Sửa chữa ô tô Việt Nam,"725,472","788,349"
539,PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,200754420,,"301,529","221,041"
540,PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,1800722461,,"1,775,775","2,665,192"
541,PTB,CTCP Phú Tài,4100259236,"Công ty bột Thạch Anh, Công ty TNHH MTV Gỗ Phú Tài Bình Định, Công ty TNHH MTV Đá Thạch Anh Phú Tài Bình Định, Công ty TNHH MTV Đá Phú Tài Yên Bái, CTCP Đá Phú Tài Ninh Thuận","5,601,237","6,491,949"
542,PTC,CTCP Đầu Tư Icapital,100686544,"CTCP Khách sạn Bưu điện Nha Trang, CTCP Điện gió Hướng Linh 7, CTCP Điện gió Hướng Linh 8, CTCP Cáp quang Việt Nam VINA - OFC",-511,-600
543,PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,302365984,CTCP Bồi Long,"346,815","227,813"
544,PTE,CTCP Xi măng Phú Thọ,2600116271,Công ty cổ phần xi măng Sông Thao,"59,063","64,841"
545,PTG,CTCP May Xuất khẩu Phan Thiết,3400353333,Công ty TNHH MTV Dịch vụ PLG,"396,995","400,217"
546,PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây,500387891,,"424,060","466,486"
547,PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện,100774631,"CTCP Bất động sản Bưu Điện (Postre), CTCP Đại chúng Lane Xang, CTCP Kasati","4,734,129","4,963,702"
548,PTL,CTCP Victory Capital,305284081,CTCP Đầu tư Dầu khí Mỹ Phú,"50,323","96,427"
