,Tên công ty,Tên quốc tế,Tên viết tắt,Mã số thuế,Địa chỉ,Người đại diện,Điện thoại,Ngày hoạt động,Quản lý bởi,Loại hình DN,Tình trạng,Ngành nghề kinh doanh
17,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH,HO CHI MINH CITY DEVELOPMENTJOINT STOCK COMMERCIAL BANK,HDBANK,0300608092,"Số 25Bis (Một phần diện tích sử dụng tầng hầm 1 (B1) và các tầng 1,2,3,4,11,12,12A), Nguyễn Thị Minh Khai, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","PHẠM QUỐC THANH
Ngoài ra PHẠM QUỐC THANH còn đại diện các doanh nghiệp:
ĐỊA ĐIỂM KINH DOANH NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH - CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH THUẬN AN
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH(NTNN)
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH - CHI NHÁNH HÀNG XANH - PHÒNG GIAO DỊCH THẢO ĐIỀN
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH - CHI NHÁNH CỘNG HÒA - PHÒNG GIAO DỊCH NGUYỄN ẢNH THỦ
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH-CHI NHÁNH VŨNG TÀU-PHÒNG GIAO DỊCH BÀ RỊA
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH - CHI NHÁNH THÀNH PHỐ THỦ ĐỨC - PHÒNG GIAO DỊCH PHƯỚC LONG
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH - CHI NHÁNH BÌNH DƯƠNG - PHÒNG GIAO DỊCH BẾN CÁT
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH - CHI NHÁNH NGUYỄN TRÃI - PHÒNG GIAO DỊCH NGUYỄN VĂN CỪ
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH - CHI NHÁNH HÀ NỘI - PHÒNG GIAO DỊCH NAM ĐÔ
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN PHÁT TRIỂN THÀNH PHỐ HỒ CHÍ MINH-CHI NHÁNH CẦN THƠ PHÒNG GIAO DỊCH THỐT NỐT
HDBANK - KIỂM THỬ HĐĐT KHÔNG MÃ",(08) 62 915 916,1992-08-11,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động trung gian tiền tệ khác
18,CÔNG TY CỔ PHẦN HÀNG TIÊU DÙNG MASAN,MASAN CONSUMER CORPORATION,MASAN CONSUMER CORP,0302017440,"Tầng 12, tòa nhà MPlaza Saigon, Số 39 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","TRƯƠNG CÔNG THẮNGDANNY LE
Ngoài ra TRƯƠNG CÔNG THẮNGDANNY LE còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN TẬP ĐOÀN MASAN
CÔNG TY CỔ PHẦN MASAN MEATLIFE",02862555660,2000-05-31,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Bán buôn thực phẩm
Chi tiết: Mua bán lương thực, thực phẩm, thực phẩm công nghệ (thực hiện theo đúng Quyết định số 64/2009/QĐ-UBND ngày 31/7/2009 và quyết định số 79/2009/QĐ-UBND ngày 17/10/2009 của Uỷ ban nhân dân Thành phố Hồ Chí Minh); (trừ việc thực hiện xuất khẩu, nhập khẩu, phân phối đối với các hàng hóa thuộc Danh mục hàng hóa nhà đầu tư nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài không được thực hiện quyền xuất khẩu, quyền nhập khẩu, quyền phân phối theo quy định pháp luật)."
19,CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VIETJET AVIATION JOINT STOCK COMPANY,"VIETJET., JSC",0102325399,"302/3 phố Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Thành phố Hà Nội, Việt Nam","NGUYỄN THỊ PHƯƠNG THẢONGUYỄN THANH HÀ ĐINH VIỆT PHƯƠNG
Ngoài ra NGUYỄN THỊ PHƯƠNG THẢONGUYỄN THANH HÀ ĐINH VIỆT PHƯƠNG còn đại diện các doanh nghiệp:
CÔNG TY TNHH TƯ VẤN THƯƠNG MẠI DỊCH VỤ HẢI DƯƠNG
CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET
NGUYỄN THỊ PHƯƠNG THẢO",Bị ẩn theo yêu cầu người dùng,2007-07-23,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Vận tải hành khách hàng không
20,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN QUỐC TẾ VIỆT NAM,VIET NAM INTERNATIONAL COMMERCIAL JOINT STOCK BANK,VIB,0100233488,"Tầng 1 (tầng trệt) và Tầng 2 Tòa nhà Sailing Tower, Số 111A Pasteur, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",HÀN NGỌC VŨ,028 6299 9039,1996-02-14,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động trung gian tiền tệ khác
21,CÔNG TY CỔ PHẦN TẬP ĐOÀN HÒA BÌNH MINH,HOA BINH MINH GROUP JOINT STOCK COMPANY,HOA BINH MINH GROUP JSC,5200896375,"Tổ 2, Phường Nguyễn Thái Học, Thành phố Yên Bái, Tỉnh Yên Bái, Việt Nam","BÙI MINH LỰC
Ngoài ra BÙI MINH LỰC còn đại diện các doanh nghiệp:
CÔNG TY TNHH BÌNH MINH
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ Ô TÔ HÒA BÌNH MINH
CÔNG TY TNHH TỔNG CÔNG TY HOÀ BÌNH MINH - VĂN PHÒNG ĐẠI DIỆN TẠI ĐỒNG NAI
CÔNG TY TNHH THÉP XUÂN THÀNH
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TỔNG CÔNG TY HOÀ BÌNH MINH
CÔNG TY CỔ PHẦN ĐẦU TƯ SẢN XUẤT XUẤT NHẬP KHẨU KIM LONG
CÔNG TY TNHH HÒA BÌNH MINH KIÊN GIANG
CÔNG TY TNHH TỔNG CÔNG TY HOÀ BÌNH MINH
CÔNG TY CỔ PHẦN TMDV Ô TÔ HÒA BÌNH MINH
TRUNG TÂM VẬT LIỆU XÂY DỰNG HÀ NAM - CÔNG TY TNHH TỔNG CÔNG TY HOÀ BÌNH MINH
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI HÒA BÌNH MINH
TRUNG TÂM VẬT LIỆU XÂY DỰNG TUYÊN QUANG - CÔNG TY TNHH TỔNG CÔNG TY HÒA BÌNH MINH",Bị ẩn theo yêu cầu người dùng,2018-12-26,Cục Thuế Tỉnh Yên Bái,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động tư vấn quản lý
22,CÔNG TY TNHH ỐNG THÉP HOÀ PHÁT,HOA PHAT STEEL PIPE COMPANY LIMITED,"HOA PHAT STEEL PIPE CO., LTD",0100598873,"Số 39 Nguyễn Đình Chiểu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","NGUYỄN MẠNH TUẤN ( sinh năm 1962 - Hà Nội) Ẩn thông tin
Ngoài ra NGUYỄN MẠNH TUẤN còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY TNHH ỐNG THÉP HOÀ PHÁT
CHI NHÁNH CÔNG TY TNHH ỐNG THÉP HOÀ PHÁT ( NỘP THAY NHÀ THẦU)
CÔNG TY CỔ PHẦN SẢN PHẨM THÉP HÒA PHÁT",02462797120,1996-08-20,Cục Thuế Thành phố Hà Nội,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sắt, thép, gang"
23,NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,LIEN VIET POST JOINT STOCK COMMERCIAL BANK,LIENVIETPOSTBANK,6300048638,"Tầng 1,3,4,5,6 Tòa nhà Thaiholdings Tower, Số 210 đường Trần Quang Khải, Phường Tràng Tiền, Quận Hoàn Kiếm, Thành phố Hà Nội, Việt Nam",PHẠM DOÃN SƠN ( sinh năm 1967 - Hà Nội) Ẩn thông tin,024 62 668 668,2008-04-03,Cục thuế Doanh nghiệp lớn,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động trung gian tiền tệ khác
24,CÔNG TY CỔ PHẦN TẬP ĐOÀN FLC,FLC GROUP JOINT STOCK COMPANY,,0102683813,"Tầng 29, Tòa nhà Bamboo Airways, số 265 đường Cầu Giấy , Phường Dịch Vọng, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam","BÙI HẢI HUYỀN
Ngoài ra BÙI HẢI HUYỀN còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN SÁNG TẠO ALIAT VIỆT NAM
CÔNG TY CỔ PHẦN FLC QUY NHƠN GOLF & RESORT
CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ SỐ FLC
CÔNG TY TNHH MỘT THÀNH VIÊN QUẢN LÝ KHÁCH SẠN VÀ KHU NGHỈ DƯỠNG FLC
CÔNG TY TNHH FLC SAMSON GOLF & RESORT
CÔNG TY CỔ PHẦN FLC QUY NHƠN GOLF & RESORT",02437711111,2009-12-09,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),
25,CÔNG TY CỔ PHẦN TẬP ĐOÀN GELEX,GELEX GROUP JOINT STOCK COMPANY,TẬP ĐOÀN GELEX,0100100512,"Số 52, phố Lê Đại Hành, Phường Lê Đại Hành, Quận Hai Bà Trưng, Thành phố Hà Nội, Việt Nam","NGUYỄN VĂN TUẤN
Ngoài ra NGUYỄN VĂN TUẤN còn đại diện các doanh nghiệp:
KHÁCH SẠN BÌNH MINH - NHÀ KHÁCH CỦA TỔNG CÔNG TY CỔ PHẦN THIẾT BỊ ĐIỆN VIỆT NAM
ĐỊA ĐIỂM KINH DOANH SỐ 1 - TỔNG CÔNG TY CỔ PHẦN THIẾT BỊ ĐIỆN VIỆT NAM
CÔNG TY CỔ PHẦN TẬP ĐOÀN GELEX
TỔNG CÔNG TY CỔ PHẦN THIẾT BỊ ĐIỆN VIỆT NAM",024 39726245/6,2010-12-01,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất thiết bị điện khác
Chi tiết: - Sản xuất kinh doanh thiết bị điện dùng trong công nghiệp, nông nghiệp và dân dụng; - Thiết kế, chế tạo, kinh doanh và sửa chữa các loại thiết bị đo đếm điện một pha, ba pha (có dòng điện một chiều và xoay chiều) các cấp điện áp hạ thế, trung thế và cao thế đến 220 KV;"
26,CÔNG TY TÀI CHÍNH TNHH NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG SMBC,VPBANK SMBC FINANCE COMPANY LIMITED,VPB SMBC FC,0102180545,"Tầng 2, Tòa nhà REE Tower, Số 9 đường Đoàn Văn Bơ, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam","LÔ BẰNG GIANG
Ngoài ra LÔ BẰNG GIANG còn đại diện các doanh nghiệp:
CÔNG TY TÀI CHÍNH TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG (NTNN)",Bị ẩn theo yêu cầu người dùng,2007-02-15,Cục Thuế Thành phố Hồ Chí Minh,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Hoạt động dịch vụ tài chính khác chưa được phân vào đâu (trừ bảo hiểm và bảo hiểm xã hội)
27,CÔNG TY CỔ PHẦN STAVIAN HÓA CHẤT,STAVIAN CHEMICAL JOINT STOCK COMPANY,"STAVIAN CHEMICAL.,JSC",0104160054,"Lô số 16, đường 206 khu A, Khu công nghiệp Phố Nối A, Xã Đình Dù, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam","ĐINH ĐỨC THẮNG
Ngoài ra ĐINH ĐỨC THẮNG còn đại diện các doanh nghiệp:
CÔNG TY TNHH STAVIAN VIỆT NAM HOLDINGS
CÔNG TY CỔ PHẦN TẬP ĐOÀN STAVIAN
CÔNG TY CỔ PHẦN STAVIAN HÓA CHẤT ( NỘP THAY NHÀ THẦU)
CÔNG TY CỔ PHẦN STAVIAN CÔNG NGHIỆP VÀ DỊCH VỤ
CÔNG TY CỔ PHẦN STAVIAN ĐỊA ỐC",0221 3 789 888,2009-09-11,Cục Thuế Tỉnh Hưng Yên,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Sản xuất sản phẩm từ plastic
28,CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN-CỬA HÀNG TRANG SỨC BẠC,,,0300521758,"Tầng B1, ô số B1-09B Trung tâm thương mại Vincom Center-70-72 Lê Thánh Tôn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Phạm Quốc Việt
Ngoài ra Phạm Quốc Việt còn đại diện các doanh nghiệp:
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - TRUNG TÂM KIM HOÀN PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CHI NHÁNH PNJ HÀ NỘI - CỬA HÀNG TRANG SỨC PNJ
CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - TRUNG TÂM KIM HOÀN PNJ 13
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CỬA HÀNG TRANG SỨC PNJ
CỬA HÀNG TRANG SỨC PNJ
CỬA HÀNG PNJ LÊ VĂN SỸ
CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN (NTNN)
CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN-CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC BẠC
ĐỊA ĐIỂM KINH DOANH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CỬA HÀNG TRANG SỨC PNJ
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - TRUNG TÂM BẢO HÀNH PNJ
ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CHI NHÁNH PNJ BẾN TRE
ĐỊA ĐIỂM KINH DOANH CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - CHI NHÁNH PNJ HẢI PHÒNG -
CỬA HÀNG TRANG SỨC PNJ
CỬA HÀNG TRANG SỨC BẠC - CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN TẠI ĐÀ NẴNG
CHI NHÁNH CÔNG TY CỔ PHẦN VÀNG BẠC ĐÁ QUÝ PHÚ NHUẬN - TRUNG TÂM KIM HOÀN PNJ
CỬA HÀNG PNJ BIÊN HÒA 4",0839651322,2010-04-13,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán lẻ hàng hóa khác mới trong các cửa hàng chuyên doanh
29,CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM,VIET NAM PAYMENT SOLUTION JOINT STOCK COMPANY,"VNPAY., JSC",0102182292,"Tầng 8, Số 22, phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam","LÊ TÁNH
Ngoài ra LÊ TÁNH còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN GIẢI PHÁP THANH TOÁN VIỆT NAM
CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM
CÔNG TY TNHH DỊCH VỤ SỐ DIGILIFE VIỆT NAM
VNPAY - KIỂM THỬ HĐĐT KHÔNG MÃ
VNPAY - KIỂM THỬ HĐĐT CÓ MÃ",02437764668,2007-03-07,Cục Thuế Thành phố Hà Nội,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán lẻ theo yêu cầu đặt hàng qua bưu điện hoặc internet
30,CÔNG TY CỔ PHẦN MASAN MEATLIFE,MASAN MEATLIFE CORPORATION,MASAN MEATLIFE CORP.,0311224517,"Lầu 10, Tòa nhà Central Plaza, số 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","DANNY LENGUYỄN QUỐC TRUNG
Ngoài ra DANNY LENGUYỄN QUỐC TRUNG còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN HÀNG TIÊU DÙNG MASAN
CÔNG TY CỔ PHẦN TẬP ĐOÀN MASAN",Bị ẩn theo yêu cầu người dùng,2011-10-07,Chi cục Thuế Quận 1,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Hoạt động tư vấn quản lý
Chi tiết: Tư vấn đầu tư (trừ tư vấn tài chính, kế toán, luật). (CPC: 86509)"
31,CÔNG TY CỔ PHẦN TẬP ĐOÀN THÉP NGUYỄN MINH,NGUYEN MINH STEEL GROUP JOINT STOCK COMPANY,NMI STEEL GROUP,1101359647,"Lô D1-9 đến D1-22, Khu công nghiệp Vĩnh Lộc 2, Đường VL2, Ấp Voi Lá, Xã Long Hiệp, Huyện Bến Lức, Tỉnh Long An, Việt Nam","NGUYỄN MINH HUY
Ngoài ra NGUYỄN MINH HUY còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN TẬP ĐOÀN THÉP NGUYỄN MINH ( NỘP THAY NHÀ THẦU NƯỚC NGOÀI )",0873012345,2011-03-10,Cục Thuế Tỉnh Long An,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sắt, thép, gang"
32,CÔNG TY CỔ PHẦN TẬP ĐOÀN VAS NGHI SƠN,VAS GROUP NGHI SON JOINT STOCK COMPANY,Tập Đoàn VAS,2801115888,"Khu liên hợp Gang thép Nghi Sơn - Khu kinh tế Nghi Sơn, Phường Hải Thượng, Thị xã Nghi Sơn, Tỉnh Thanh Hoá, Việt Nam",NGUYỄN BẢO GIANG,0373613938,2007-12-24,Cục Thuế Tỉnh Thanh Hoá,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất sắt, thép, gang"
33,CÔNG TY CỔ PHẦN DỊCH VỤ TỔNG HỢP SÀI GÒN,SAIGON GENERAL SERVICE CORPORATION,SAVICO,0301154821,"68 Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",PHAN DƯƠNG CỬU LONG ( sinh năm 1973 - Đà Nẵng) Ẩn thông tin,(028) 3821 3913,2004-12-15,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê"
34,CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI SMC,SMC TRADING INVESTMENT JOINT STOCK COMPANY,SMC J.S.C.,0303522206,"396 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",NGUYỄN THỊ NGỌC LOAN,02838992299,2004-10-18,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),
35,CÔNG TY CỔ PHẦN THÀNH THÀNH CÔNG - BIÊN HÒA,THANH THANH CONG - BIEN HOA JOINT STOCK COMPANY,TTC -BH,3900244389,", Xã Tân Hưng, Huyện Tân Châu, Tỉnh Tây Ninh, Việt Nam","HUỲNH BÍCH NGỌCĐẶNG HUỲNH ỨC MY
Ngoài ra HUỲNH BÍCH NGỌCĐẶNG HUỲNH ỨC MY còn đại diện các doanh nghiệp:
CÔNG TY TNHH MỘT THÀNH VIÊN TƯ VẤN ĐẶNG HUỲNH ỨC MY
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU BẾN TRE (NỘP THAY NHÀ THẦU)
CTY CP XNK BẾN TRE (NỘP HỘ NHÀ THẦU)
CÔNG TY CỔ PHẦN HÀNG TIÊU DÙNG BIÊN HÒA
CÔNG TY CỔ PHẦN PHÁT TRIỂN NÔNG NGHIỆP THÀNH THÀNH CÔNG
CÔNG TY CỔ PHẦN ĐƯỜNG BIÊN HÒA
ĐĐKD CÔNG TY TNHH MYMIND",02763757250,1995-07-15,Cục Thuế Tỉnh Tây Ninh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),"Sản xuất đường
Chi tiết: Sản xuất đường"
36,CÔNG TY CỔ PHẦN HYUNDAI THÀNH CÔNG VIỆT NAM,HYUNDAI THANHCONG VIET NAM JOINT STOCK COMPANY,"HTC ., JSC",2700668614,"Khu công nghiệp Gián Khẩu, Xã Gia Trấn, Huyện Gia Viễn, Tỉnh Ninh Bình, Việt Nam","TRẦN HỮU PHÚ
Ngoài ra TRẦN HỮU PHÚ còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN HYUNDAI THÀNH CÔNG VIỆT NAM ( NỘP HỘ NHÀ THẦU)",Bị ẩn theo yêu cầu người dùng,2013-05-28,Cục Thuế Tỉnh Ninh Bình,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn ô tô và xe có động cơ khác
37,CÔNG TY CỔ PHẦN DƯỢC LIỆU TRUNG ƯƠNG 2,NATIONAL PHYTOPHARMA JOINT-STOCK COMPANY,PHYTOPHARMA VN,0302597576,"24 Nguyễn Thị Nghĩa, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","NGUYỄN CÔNG CHIẾN
Ngoài ra NGUYỄN CÔNG CHIẾN còn đại diện các doanh nghiệp:
CÔNG TY CỔ PHẦN ĐẦU TƯ MÃ MÂY
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ TƯ VẤN KIM ĐIỀN
CÔNG TY CỔ PHẦN PSK
CÔNG TY CỔ PHẦN DƯỢC LIỆU TRUNG ƯƠNG 2 (NTNN)
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN DƯỢC LIỆU TRUNG ƯƠNG 2",84 028 3832 3009 - 0,2002-05-08,Cục Thuế Thành phố Hồ Chí Minh,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),Bán buôn đồ dùng khác cho gia đình
