Company,CEO,MST,NGANH_NGHE,doanh_thu_2020,doanh_thu_2021,tinh
CÔNG TY TNHH CALOFIC,Vũ Văn Phú,5700101362,"Sản xuất, chế biến và kinh doanh dầu ăn, mỡ động thực vật",,,Quảng Ninh
CÔNG TY TNHH CJ VINA AGRI,Nam Ki Don,1100439762,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Long An
CÔNG TY TNHH BẢO HIỂM NHÂN THỌ AIA (VIỆT NAM),Wayne Besant,0301930337,Bảo hiểm,,,TP Hồ Chí Minh
CÔNG TY TNHH CARGILL VIỆT NAM,Fering Thomas John,3600233178,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,TP Hồ Chí Minh
TỔNG CÔNG TY LƯƠNG THỰC MIỀN BẮC,Bùi Thị Thanh Tâm,0100102608,"Sản xuất, chế biến và kinh doanh gạo, ngũ cốc, sản phẩm nghiền, đồ khô",,,Hà Nội
CÔNG TY TNHH YAMAHA MOTOR VIỆT NAM,Masaki Asano,0100774342,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
TẬP ĐOÀN DỆT MAY VIỆT NAM,Lê Tiến Trường,0100100008,"Sản xuất, kinh doanh sợi, sản phẩm dệt","13,908,982","16,002,865",Hà Nội
CÔNG TY TNHH DE HEUS,Gabor Fluit,3701091716,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Vĩnh Long
CÔNG TY TNHH MM MEGA MARKET (VIỆT NAM),Bruno Jousselin,0302249586,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
CÔNG TY TNHH JAPFA COMFEED VIỆT NAM,Arif Widjaja,2500175548,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Vĩnh Phúc
TỔNG CÔNG TY VẬT TƯ NÔNG NGHIỆP,Nguyễn Tất Thắng,0100104468,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu",,,Hà Nội
NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,Nguyễn Hoàng Nam,0101057919,Ngân hàng,,,Hà Nội
CÔNG TY TNHH ĐIỆN LỰC AES MÔNG DƯƠNG,David Stone,5701384498,"Sản xuất, truyền tải, phân phối điện",,,Quảng Ninh
CÔNG TY CP ACECOOK VIỆT NAM,Kajiwara Junichi,0300808687,"Sản xuất, chế biến và kinh doanh thực phẩm đóng gói, ăn liền, đồ hộp",,,TP Hồ Chí Minh
TỔNG CÔNG TY BẢO HIỂM BẢO VIỆT,Nguyễn Xuân Việt,0101527385,Bảo hiểm,,,Hà Nội
CÔNG TY TNHH NHÀ NƯỚC MTV THƯƠNG MẠI VÀ XUẤT NHẬP KHẨU VIETTEL,Phạm Văn Hùng,0104831030,"Bán lẻ điện tử, điện lạnh, viễn thông, công nghệ thông tin",,,Hà Nội
CÔNG TY CP VIỆT - PHÁP SẢN XUẤT THỨC ĂN GIA SÚC (PROCONCO),Nguyễn Thị Lệ Hồng,3600234534,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Đồng Nai
TỔNG CÔNG TY HÀNG HẢI VIỆT NAM - CTCP,Nguyễn Cảnh Tĩnh,0100104595,Vận tải đường biển,,,Hà Nội
CÔNG TY TNHH UNI-PRESIDENT VIỆT NAM,Chen I Shen,3700306630,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Bình Dương
CÔNG TY CP GREENFEED VIỆT NAM,Đỗ Cao Bằng,1100598642,"Sản xuất, kinh doanh thức ăn chăn nuôi",,,Long An
TỔNG CÔNG TY THƯƠNG MẠI XUẤT NHẬP KHẨU THANH LỄ - CTCP,Đoàn Minh Quang,3700146458,Kinh doanh xăng dầu và các sản phẩm liên quan,"10,669,958","11,901,762",Bình Dương
TỔNG CÔNG TY THƯƠNG MẠI SÀI GÒN - TNHH MTV,Lê Minh Trang,0300100037,"Bán lẻ hàng tiêu dùng nhanh trong siêu thị, cửa hàng tiện lợi, chợ truyền thông",,,TP Hồ Chí Minh
TỔNG CÔNG TY CẢNG HÀNG KHÔNG VIỆT NAM - CTCP,Vũ Thế Phiệt,0311638525,Hoạt động khác hỗ trợ cho vận tải,"7,767,469","4,752,036",TP Hồ Chí Minh
CÔNG TY CP THỰC PHẨM SỮA TH,Rami Hamad,0103414411,"Sản xuất, chế biến và kinh doanh sữa, sản phẩm từ sữa",,,Hà Nội
CÔNG TY CP GANG THÉP THÁI NGUYÊN,Nguyễn Minh Hạnh,4600100155,"Sản xuất, gia công kim loại, sắt thép, kim khí…","9,566,187","12,857,295",Thái Nguyên
CÔNG TY CP DAIKIN AIR CONDITIONING (VIETNAM),Lý Thị Phương Trang,0301450108,"Sản xuất, kinh doanh thiết bị điện",,,TP Hồ Chí Minh
CÔNG TY CP DỆT RENZE,Zhou Bo Qin,3600852146,"Sản xuất, kinh doanh sợi, sản phẩm dệt",,,Đồng Nai
CÔNG TY TNHH MTV DỊCH VỤ CƠ KHÍ HÀNG HẢI PTSC,Đồng Xuân Thắng,3500790168,Công nghiệp đóng tàu và thuyền,,,Bà Rịa - Vũng Tàu
CÔNG TY CP XI MĂNG VICEM HÀ TIÊN,Lưu Đình Cường,0301446422,"Sản xuất, kinh doanh vật liệu xây dựng","7,962,629","7,064,342",TP Hồ Chí Minh
TỔNG CÔNG TY PHÂN BÓN VÀ HÓA CHẤT DẦU KHÍ - CTCP,Lê Cự Tân,0303165480,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","7,761,819","12,786,141",TP Hồ Chí Minh
CÔNG TY TNHH DENSO VIỆT NAM,Mitsuo Ota,0101210878,"Sản xuất, kinh doanh ô tô, xe máy, xe có động cơ và phụ kiện",,,Hà Nội
TỔNG CÔNG TY CP BIA - RƯỢU - NƯỚC GIẢI KHÁT HÀ NỘI,Ngô Quế Lâm,0101376672,"Sản xuất, chế biến và kinh doanh đồ uống có cồn","7,452,592","6,950,539",Hà Nội
TỔNG CÔNG TY ĐẦU TƯ VÀ KINH DOANH VỐN NHÀ NƯỚC-CÔNG TY TNHH,Nguyễn Chí Thành,0101992921,Dịch vụ tài chính khác,,,Hà Nội
NGÂN HÀNG TNHH MTV SHINHAN VIỆT NAM,Kang Gew Won,0309103635,Ngân hàng,,,TP Hồ Chí Minh
CÔNG TY CP PHÂN BÓN DẦU KHÍ CÀ MAU,Văn Tiến Thanh,2001012298,"Sản xuất, kinh doanh phân bón, thuốc trừ sâu","7,561,275","9,869,763",Cà Mau
